指标,2022年,2021年,2019年,2018年,2017年,2016年,2015年,2014年
性别比(女=100)(人口抽样调查),104.43,104.61,104.46,104.64,104.81,104.98,105.02,105.04
0-4岁性别比(女=100)(人口抽样调查),109.88,110.37,113.62,113.91,114.52,115.62,116.23,116.87
5-9岁性别比(女=100)(人口抽样调查),112.22,112.96,116.85,118.03,118.55,118.86,119.09,119.16
10-14岁性别比(女=100)(人口抽样调查),114.69,114.86,119.1,118.62,118.46,118.54,118.59,118.54
15-19岁性别比(女=100)(人口抽样调查),115.77,116.17,118.39,118.14,117.7,117.05,116.12,114.76
20-24岁性别比(女=100)(人口抽样调查),113.52,113.2,114.61,112.89,110.98,109.62,108.51,106.83
25-29岁性别比(女=100)(人口抽样调查),111.36,110.68,106.65,105.39,104.47,103.41,102.24,101.54
30-34岁性别比(女=100)(人口抽样调查),107.5,106.69,101.28,101.05,101.04,101.3,101.94,102.47
35-39岁性别比(女=100)(人口抽样调查),105.54,105.76,102.1,102.84,103.29,103.8,104.13,104.32
40-44岁性别比(女=100)(人口抽样调查),105.14,105,103.77,103.75,104.06,104.21,104.42,104.44
45-49岁性别比(女=100)(人口抽样调查),103.73,103.73,103.58,103.64,103.56,103.43,103.28,103.4
50-54岁性别比(女=100)(人口抽样调查),101.9,101.74,102.1,102.15,102.52,102.86,102.63,102.68
55-59岁性别比(女=100)(人口抽样调查),100.47,100.8,100.81,101.65,102.25,103.03,103.45,103.53
60-64岁性别比(女=100)(人口抽样调查),99.07,99.88,100.74,100.5,100.03,99.77,99.74,99.85
65-69岁性别比(女=100)(人口抽样调查),96.86,96.51,95.9,96.94,96.23,97.16,99.91,97.33
70-74岁性别比(女=100)(人口抽样调查),93.19,94.08,94.11,94.42,93.99,96.36,96.36,99.47
75-79岁性别比(女=100)(人口抽样调查),89.37,89.3,87.76,89.15,91.46,91.79,90.7,91.28
80-84岁性别比(女=100)(人口抽样调查),82.44,82.27,77.24,76.97,82.76,81.76,78.94,81.99
85-89岁性别比(女=100)(人口抽样调查),71.36,69.86,70.37,71.16,71.66,68.73,67.03,66.79
90-94岁性别比(女=100)(人口抽样调查),62.56,63.07,51.53,48.74,50.61,49.58,53.97,49.45
95岁以上性别比(女=100)(人口抽样调查),50.36,43.2,35.29,40.07,40.36,48.25,39.36,43.98
