指标,2022年,2021年,2019年,2018年,2017年,2016年,2015年,2014年
男性人口数(人口抽样调查)(人),737631,763842,557834,585299,586072,593087,10917046,576011
0-4岁男性人口数(人口抽样调查)(人),32589,38288,33361,35887,36468,36703,668449,34484
5-9岁男性人口数(人口抽样调查)(人),48010,50970,32709,34279,34344,34666,638535,34326
10-14岁男性人口数(人口抽样调查)(人),49065,49345,32530,33775,32929,32773,598685,31616
15-19岁男性人口数(人口抽样调查)(人),42687,42677,30261,31552,32034,33199,626249,34584
20-24岁男性人口数(人口抽样调查)(人),39146,41020,32854,36085,38496,41366,809143,46891
25-29岁男性人口数(人口抽样调查)(人),44806,48189,42186,47710,51451,54225,1007144,49801
30-34岁男性人口数(人口抽样调查)(人),60488,66101,47285,46843,44709,44070,794090,41777
35-39岁男性人口数(人口抽样调查)(人),56397,56115,39256,41517,41944,40992,769056,41761
40-44岁男性人口数(人口抽样调查)(人),50422,50206,39234,42557,44730,48342,932187,52086
45-49岁男性人口数(人口抽样调查)(人),52930,58320,48652,52108,53661,53194,976048,50455
50-54岁男性人口数(人口抽样调查)(人),64419,65216,47045,48939,48982,49491,818405,39470
55-59岁男性人口数(人口抽样调查)(人),58880,61237,37183,35208,30244,30264,606808,33781
60-64岁男性人口数(人口抽样调查)(人),35813,35357,30468,34092,34027,33810,604925,30781
65-69岁男性人口数(人口抽样调查)(人),39343,39951,26967,26974,25281,23878,425036,20573
70-74岁男性人口数(人口抽样调查)(人),28355,27247,17291,16905,15790,15545,276332,14528
75-79岁男性人口数(人口抽样调查)(人),16956,16457,10568,10745,10774,10744,195597,10179
80-84岁男性人口数(人口抽样调查)(人),10137,10175,6242,6457,6660,6446,111726,5987
85-89岁男性人口数(人口抽样调查)(人),5223,5066,2906,2870,2758,2613,44847,2244
90-94岁男性人口数(人口抽样调查)(人),1654,1643,719,665,660,630,11838,581
95岁以上男性人口数(人口抽样调查)(人),311,263,117,131,131,134,1947,106
